Day,Hour,Dir,Spd,Temp,Radiation
0,6,290.0,0.0,0.7890625,0.0
0,7,270.0,0.0,0.80859375,0.054755043
0,8,290.0,0.046979866,0.84765625,0.236311239
0,9,290.0,0.040268456,0.88671875,0.461095101
0,10,270.0,0.127516779,0.8984375,0.677233429
0,11,270.0,0.154362416,0.93359375,0.838616715
0,12,,,0.94140625,0.956772334
0,13,270.0,0.22147651,0.9609375,1.0
0,14,270.0,0.187919463,0.9609375,0.971181556
0,15,270.0,0.208053691,0.98046875,0.844380403
0,16,280.0,0.187919463,0.9453125,0.680115274
0,17,280.0,0.134228188,0.9609375,0.478386167
0,18,220.0,0.100671141,0.91796875,0.239193084
0,19,180.0,0.067114094,0.87890625,0.037463977
0,20,200.0,0.11409396,0.85546875,0.0
1,6,290.0,0.040268456,0.80078125,0.0
1,7,270.0,0.0,0.8203125,0.04610951
1,8,280.0,0.040268456,0.8515625,0.23054755
1,9,290.0,0.10738255,0.88671875,0.463976945
1,10,280.0,0.120805369,0.90625,0.642651297
1,11,270.0,0.167785235,0.92578125,0.81556196
1,12,270.0,0.208053691,0.94140625,0.936599424
1,13,270.0,0.214765101,0.953125,0.974063401
1,14,270.0,0.22147651,0.9609375,0.930835735
1,15,270.0,0.22147651,0.96484375,0.812680115
1,16,270.0,0.140939597,0.9609375,0.654178674
1,17,270.0,0.161073826,0.94140625,0.438040346
1,18,230.0,0.10738255,0.91796875,0.213256484
1,19,230.0,0.087248322,0.8828125,0.04610951
1,20,,,0.8671875,0.0
2,6,270.0,0.026845638,0.80859375,0.0
2,7,290.0,0.006711409,0.83203125,0.060518732
2,8,280.0,0.040268456,0.86328125,0.195965418
2,9,270.0,0.080536913,0.88671875,0.308357349
2,10,300.0,0.181208054,0.86328125,0.438040346
2,11,,,0.90234375,0.798270893
2,12,270.0,0.154362416,0.93359375,0.878962536
2,13,270.0,0.201342282,0.9453125,0.916426513
2,14,270.0,0.187919463,0.95703125,0.873198847
2,15,260.0,0.194630872,0.953125,0.778097983
2,16,210.0,0.167785235,0.95703125,0.648414986
2,17,240.0,0.161073826,0.9375,0.386167147
2,18,270.0,0.147651007,0.890625,0.112391931
2,19,260.0,0.127516779,0.87890625,0.025936599
2,20,270.0,0.10738255,0.875,0.0
3,6,130.0,0.100671141,0.7265625,0.0
3,7,180.0,0.046979866,0.80078125,0.069164265
3,8,290.0,0.060402685,0.84765625,0.216138329
3,9,290.0,0.073825503,0.8671875,0.423631124
3,10,290.0,0.100671141,0.890625,0.573487032
3,11,210.0,0.154362416,0.875,0.677233429
3,12,280.0,0.154362416,0.91015625,0.88184438
3,13,290.0,0.100671141,0.9296875,0.74351585
3,14,290.0,0.134228188,0.9140625,0.550432277
3,15,250.0,0.127516779,0.9140625,0.288184438
3,16,270.0,0.127516779,0.91796875,0.363112392
3,17,260.0,0.140939597,0.8984375,0.198847262
3,18,270.0,0.100671141,0.8828125,0.074927954
3,19,270.0,0.100671141,0.875,0.025936599
3,20,280.0,0.067114094,0.86328125,0.0
4,6,290.0,0.046979866,0.828125,0.0
4,7,270.0,0.006711409,0.8359375,0.063400576
4,8,280.0,0.046979866,0.875,0.250720461
4,9,270.0,0.093959732,0.890625,0.282420749
4,10,290.0,0.134228188,0.8515625,0.121037464
4,11,280.0,0.087248322,0.84375,0.109510086
4,12,270.0,0.10738255,0.88671875,0.342939481
4,13,270.0,0.100671141,0.88671875,0.236311239
4,14,270.0,0.100671141,0.8671875,0.141210375
4,15,280.0,0.127516779,0.87109375,0.121037464
4,16,290.0,0.0,0.9140625,0.201729107
4,17,260.0,0.0,0.91015625,0.172910663
4,18,290.0,0.0,0.89453125,0.121037464
4,19,290.0,0.0,0.87109375,0.023054755
4,20,290.0,0.033557047,0.859375,0.0
5,6,290.0,0.0,0.8203125,0.0
5,7,290.0,0.0,0.83984375,0.051873199
5,8,280.0,0.020134228,0.86328125,0.213256484
5,9,280.0,0.10738255,0.88671875,0.288184438
5,10,,,0.8984375,0.374639769
5,11,270.0,0.100671141,0.92578125,0.357348703
5,12,270.0,0.147651007,0.9609375,0.723342939
5,13,270.0,0.181208054,0.81640625,0.265129683
5,14,300.0,0.134228188,0.74609375,0.028818444
5,15,270.0,0.013422819,0.73828125,0.014409222
5,16,130.0,0.033557047,0.73828125,0.028818444
5,17,110.0,0.067114094,0.7734375,0.100864553
5,18,110.0,0.0,0.79296875,0.109510086
5,19,290.0,0.0,0.78515625,0.034582133
5,20,290.0,0.073825503,0.7578125,0.0
6,6,280.0,0.0,0.796875,0.0
6,7,290.0,0.006711409,0.8203125,0.043227666
6,8,290.0,0.020134228,0.84375,0.16426513
6,9,290.0,0.053691275,0.90234375,0.446685879
6,10,290.0,0.087248322,0.92578125,0.657060519
6,11,290.0,0.134228188,0.91015625,0.778097983
6,12,,,0.94140625,0.812680115
6,13,,,0.9765625,0.956772334
6,14,130.0,0.100671141,0.9453125,0.622478386
6,15,130.0,0.120805369,0.9765625,0.680115274
6,16,120.0,0.174496644,0.9375,0.475504323
6,17,120.0,0.201342282,0.89453125,0.21037464
6,18,120.0,0.161073826,0.86328125,0.074927954
6,19,130.0,0.147651007,0.8359375,0.011527378
6,20,120.0,0.181208054,0.83203125,0.0
7,6,120.0,0.087248322,0.77734375,0.0
7,7,110.0,0.013422819,0.796875,0.051873199
7,8,130.0,0.053691275,0.828125,0.115273775
7,9,120.0,0.11409396,0.90625,0.342939481
7,10,130.0,0.181208054,0.93359375,0.642651297
7,11,120.0,0.208053691,0.95703125,0.841498559
7,12,120.0,0.228187919,0.94140625,0.878962536
7,13,130.0,0.214765101,0.91015625,0.587896254
7,14,,,0.9296875,0.628242075
7,15,140.0,0.228187919,0.84375,0.498559078
7,16,130.0,0.181208054,0.81640625,0.121037464
7,17,120.0,0.11409396,0.86328125,0.250720461
7,18,130.0,0.080536913,0.8359375,0.144092219
7,19,140.0,0.073825503,0.80859375,0.017291066
7,20,120.0,0.060402685,0.79296875,0.0
8,6,120.0,0.134228188,0.79296875,0.0
8,7,130.0,0.10738255,0.78515625,0.023054755
8,8,120.0,0.11409396,0.74609375,0.051873199
8,9,110.0,0.033557047,0.78125,0.083573487
8,10,120.0,0.154362416,0.78125,0.175792507
8,11,120.0,0.134228188,0.81640625,0.299711816
8,12,120.0,0.154362416,0.7890625,0.250720461
8,13,130.0,0.026845638,0.84375,0.463976945
8,14,280.0,0.026845638,0.796875,0.135446686
8,15,130.0,0.067114094,0.8203125,0.152737752
8,16,130.0,0.033557047,0.8359375,0.244956772
8,17,110.0,0.0,0.85546875,0.195965418
8,18,120.0,0.060402685,0.84765625,0.135446686
8,19,110.0,0.067114094,0.80859375,0.025936599
8,20,130.0,0.11409396,0.7890625,0.0
9,6,120.0,0.020134228,0.75,0.0
9,7,130.0,0.080536913,0.77734375,0.057636888
9,8,120.0,0.053691275,0.83203125,0.18443804
9,9,120.0,0.046979866,0.9296875,0.435158501
9,10,140.0,0.093959732,0.890625,0.46685879
9,11,130.0,0.087248322,0.8984375,0.44092219
9,12,110.0,0.120805369,0.8203125,0.190201729
9,13,170.0,0.073825503,0.890625,0.538904899
9,14,290.0,0.067114094,0.8984375,0.414985591
9,15,290.0,0.140939597,0.89453125,0.622478386
9,16,290.0,0.127516779,0.91796875,0.691642651
9,17,170.0,0.11409396,0.88671875,0.239193084
9,18,140.0,0.093959732,0.87109375,0.146974063
9,19,160.0,0.10738255,0.83984375,0.048991354
9,20,160.0,0.046979866,0.8203125,0.0
10,6,320.0,0.0,0.76953125,0.0
10,7,130.0,0.0,0.78515625,0.020172911
10,8,120.0,0.040268456,0.80859375,0.080691643
10,9,120.0,0.060402685,0.81640625,0.121037464
10,10,120.0,0.067114094,0.83984375,0.201729107
10,11,140.0,0.11409396,0.72265625,0.123919308
10,12,100.0,0.013422819,0.75,0.11815562
10,13,270.0,0.0,0.77734375,0.239193084
10,14,280.0,0.040268456,0.81640625,0.360230548
10,15,100.0,0.0,0.83203125,0.354466859
10,16,130.0,0.067114094,0.8671875,0.492795389
10,17,160.0,0.11409396,0.84375,0.371757925
10,18,120.0,0.134228188,0.80859375,0.181556196
10,19,130.0,0.120805369,0.765625,0.023054755
10,20,120.0,0.100671141,0.7578125,0.0
11,6,30.0,0.0,0.72265625,0.0
11,7,110.0,0.0,0.73046875,0.037463977
11,8,110.0,0.046979866,0.796875,0.201729107
11,9,140.0,0.087248322,0.74609375,0.178674352
11,10,,,0.81640625,0.328530259
11,11,160.0,0.060402685,0.83984375,0.354466859
11,12,170.0,0.140939597,0.78515625,0.567723343
11,13,160.0,0.060402685,0.890625,0.731988473
11,14,140.0,0.093959732,0.90234375,0.832853026
11,15,140.0,0.161073826,0.81640625,0.518731988
11,16,150.0,0.120805369,0.78515625,0.21037464
11,17,80.0,0.046979866,0.75,0.112391931
11,18,110.0,0.100671141,0.75,0.089337176
11,19,110.0,0.080536913,0.7578125,0.020172911
11,20,120.0,0.120805369,0.76171875,0.0
12,6,110.0,0.140939597,0.73046875,0.0
12,7,110.0,0.147651007,0.75390625,0.031700288
12,8,110.0,0.067114094,0.796875,0.135446686
12,9,120.0,0.073825503,0.87890625,0.432276657
12,10,,,0.73046875,0.123919308
12,11,40.0,0.10738255,0.76953125,0.161383285
12,12,70.0,0.093959732,0.8125,0.308357349
12,13,110.0,0.026845638,0.8046875,0.204610951
12,14,110.0,0.033557047,0.77734375,0.204610951
12,15,290.0,0.026845638,0.76171875,0.152737752
12,16,50.0,0.053691275,0.7734375,0.13832853
12,17,120.0,0.087248322,0.78515625,0.172910663
12,18,110.0,0.093959732,0.76953125,0.063400576
12,19,120.0,0.161073826,0.75390625,0.017291066
12,20,120.0,0.147651007,0.75,0.0
13,6,120.0,0.10738255,0.73828125,0.0
13,7,120.0,0.060402685,0.76953125,0.048991354
13,8,120.0,0.093959732,0.85546875,0.239193084
13,9,120.0,0.080536913,0.90234375,0.463976945
13,10,140.0,0.060402685,0.9453125,0.691642651
13,11,150.0,0.040268456,0.89453125,0.680115274
13,12,280.0,0.10738255,0.91015625,0.461095101
