Day,Hour,Radiation
0,6,0
0,7,0.054755043
0,8,0.236311239
0,9,0.461095101
0,10,0.677233429
0,11,0.838616715
0,12,0.956772334
0,13,1
0,14,0.971181556
0,15,0.844380403
0,16,0.680115274
0,17,0.478386167
0,18,0.239193084
0,19,0.037463977
0,20,0
1,6,0
1,7,0.04610951
1,8,0.23054755
1,9,0.463976945
1,10,0.642651297
1,11,0.81556196
1,12,0.936599424
1,13,0.974063401
1,14,0.930835735
1,15,0.812680115
1,16,0.654178674
1,17,0.438040346
1,18,0.213256484
1,19,0.04610951
1,20,0
2,6,0
2,7,0.060518732
2,8,0.195965418
2,9,0.308357349
2,10,0.438040346
2,11,0.798270893
2,12,0.878962536
2,13,0.916426513
2,14,0.873198847
2,15,0.778097983
2,16,0.648414986
2,17,0.386167147
2,18,0.112391931
2,19,0.025936599
2,20,0
3,6,0
3,7,0.069164265
3,8,0.216138329
3,9,0.423631124
3,10,0.573487032
3,11,0.677233429
3,12,0.88184438
3,13,0.74351585
3,14,0.550432277
3,15,0.288184438
3,16,0.363112392
3,17,0.198847262
3,18,0.074927954
3,19,0.025936599
3,20,0
4,6,0
4,7,0.063400576
4,8,0.250720461
4,9,0.282420749
4,10,0.121037464
4,11,0.109510086
4,12,0.342939481
4,13,0.236311239
4,14,0.141210375
4,15,0.121037464
4,16,0.201729107
4,17,0.172910663
4,18,0.121037464
4,19,0.023054755
4,20,0
5,6,0
5,7,0.051873199
5,8,0.213256484
5,9,0.288184438
5,10,0.374639769
5,11,0.357348703
5,12,0.723342939
5,13,0.265129683
5,14,0.028818444
5,15,0.014409222
5,16,0.028818444
5,17,0.100864553
5,18,0.109510086
5,19,0.034582133
5,20,0
6,6,0
6,7,0.043227666
6,8,0.16426513
6,9,0.446685879
6,10,0.657060519
6,11,0.778097983
6,12,0.812680115
6,13,0.956772334
6,14,0.622478386
6,15,0.680115274
6,16,0.475504323
6,17,0.21037464
6,18,0.074927954
6,19,0.011527378
6,20,0
7,6,0
7,7,0.051873199
7,8,0.115273775
7,9,0.342939481
7,10,0.642651297
7,11,0.841498559
7,12,0.878962536
7,13,0.587896254
7,14,0.628242075
7,15,0.498559078
7,16,0.121037464
7,17,0.250720461
7,18,0.144092219
7,19,0.017291066
7,20,0
8,6,0
8,7,0.023054755
8,8,0.051873199
8,9,0.083573487
8,10,0.175792507
8,11,0.299711816
8,12,0.250720461
8,13,0.463976945
8,14,0.135446686
8,15,0.152737752
8,16,0.244956772
8,17,0.195965418
8,18,0.135446686
8,19,0.025936599
8,20,0
9,6,0
9,7,0.057636888
9,8,0.18443804
9,9,0.435158501
9,10,0.46685879
9,11,0.44092219
9,12,0.190201729
9,13,0.538904899
9,14,0.414985591
9,15,0.622478386
9,16,0.691642651
9,17,0.239193084
9,18,0.146974063
9,19,0.048991354
9,20,0
10,6,0
10,7,0.020172911
10,8,0.080691643
10,9,0.121037464
10,10,0.201729107
10,11,0.123919308
10,12,0.11815562
10,13,0.239193084
10,14,0.360230548
10,15,0.354466859
10,16,0.492795389
10,17,0.371757925
10,18,0.181556196
10,19,0.023054755
10,20,0
11,6,0
11,7,0.037463977
11,8,0.201729107
11,9,0.178674352
11,10,0.328530259
11,11,0.354466859
11,12,0.567723343
11,13,0.731988473
11,14,0.832853026
11,15,0.518731988
11,16,0.21037464
11,17,0.112391931
11,18,0.089337176
11,19,0.020172911
11,20,0
12,6,0
12,7,0.031700288
12,8,0.135446686
12,9,0.432276657
12,10,0.123919308
12,11,0.161383285
12,12,0.308357349
12,13,0.204610951
12,14,0.204610951
12,15,0.152737752
12,16,0.13832853
12,17,0.172910663
12,18,0.063400576
12,19,0.017291066
12,20,0
13,6,0
13,7,0.048991354
13,8,0.239193084
13,9,0.463976945
13,10,0.691642651
13,11,0.680115274
13,12,0.461095101
13,13,0.259365994
13,14,0.331412104
13,15,0.30259366
13,16,0.42074928
13,17,0.377521614
13,18,0.172910663
13,19,0.028818444
13,20,0
14,6,0
14,7,0.037463977
14,8,0.129682997
14,9,0.354466859
14,10,0.46685879
14,11,0.714697406
14,12,0.720461095
14,13,0.703170029
14,14,0.922190202
14,15,0.631123919
14,16,0.363112392
14,17,0.132564841
14,18,0.074927954
14,19,0.008645533
14,20,0
15,6,0
15,7,0.011527378
15,8,0.069164265
15,9,0.158501441
15,10,0.132564841
15,11,0.155619597
15,12,0.273775216
15,13,0.233429395
15,14,0.141210375
15,15,0.126801153
15,16,0.144092219
15,17,0.086455331
15,18,0.014409222
15,19,0
15,20,0
16,6,0
16,7,0
16,8,0.017291066
16,9,0.031700288
16,10,0.069164265
16,11,0.109510086
16,12,0.187319885
16,13,0.227665706
16,14,0.152737752
16,15,0.086455331
16,16,0.132564841
16,17,0.172910663
16,18,0.034582133
16,19,0.005763689
16,20,0
17,6,0
17,7,0.017291066
17,8,0.051873199
17,9,0.097982709
17,10,0.250720461
17,11,0.331412104
17,12,0.57925072
17,13,0.585014409
17,14,0.619596542
17,15,0.619596542
17,16,0.573487032
17,17,0.328530259
17,18,0.170028818
17,19,0.014409222
17,20,0
18,6,0
18,7,0.040345821
18,8,0.25648415
18,9,0.452449568
18,10,0.680115274
18,11,0.838616715
18,12,0.948126801
18,13,0.985590778
18,14,0.942363112
18,15,0.806916427
18,16,0.654178674
18,17,0.435158501
18,18,0.204610951
18,19,0.028818444
18,20,0
19,6,0
19,7,0.020172911
