Day,Hour,Temp
0,1,0.80859375
0,2,0.8046875
0,3,0.82421875
0,4,0.8046875
0,5,0.79296875
0,6,0.7890625
0,7,0.80859375
0,8,0.84765625
0,9,0.88671875
0,10,0.8984375
0,11,0.93359375
0,12,0.94140625
0,13,0.9609375
0,14,0.9609375
0,15,0.98046875
0,16,0.9453125
0,17,0.9609375
0,18,0.91796875
0,19,0.87890625
0,20,0.85546875
0,21,0.85546875
0,22,0.85546875
0,23,0.84765625
0,24,0.83984375
1,1,0.8359375
1,2,0.80859375
1,3,0.8203125
1,4,0.81640625
1,5,0.80078125
1,6,0.80078125
1,7,0.8203125
1,8,0.8515625
1,9,0.88671875
1,10,0.90625
1,11,0.92578125
1,12,0.94140625
1,13,0.953125
1,14,0.9609375
1,15,0.96484375
1,16,0.9609375
1,17,0.94140625
1,18,0.91796875
1,19,0.8828125
1,20,0.8671875
1,21,0.86328125
1,22,0.86328125
1,23,0.85546875
1,24,0.828125
2,1,0.83203125
2,2,0.82421875
2,3,0.82421875
2,4,0.81640625
2,5,0.8125
2,6,0.80859375
2,7,0.83203125
2,8,0.86328125
2,9,0.88671875
2,10,0.86328125
2,11,0.90234375
2,12,0.93359375
2,13,0.9453125
2,14,0.95703125
2,15,0.953125
2,16,0.95703125
2,17,0.9375
2,18,0.890625
2,19,0.87890625
2,20,0.875
2,21,0.8671875
2,22,0.86328125
2,23,0.8515625
2,24,0.84765625
3,1,0.84375
3,2,0.84375
3,3,0.8359375
3,4,0.83203125
3,5,0.82421875
3,6,0.7265625
3,7,0.80078125
3,8,0.84765625
3,9,0.8671875
3,10,0.890625
3,11,0.875
3,12,0.91015625
3,13,0.9296875
3,14,0.9140625
3,15,0.9140625
3,16,0.91796875
3,17,0.8984375
3,18,0.8828125
3,19,0.875
3,20,0.86328125
3,21,0.859375
3,22,0.8515625
3,23,0.859375
3,24,0.8515625
4,1,0.84765625
4,2,0.8359375
4,3,0.84765625
4,4,0.83203125
4,5,0.828125
4,6,0.828125
4,7,0.8359375
4,8,0.875
4,9,0.890625
4,10,0.8515625
4,11,0.84375
4,12,0.88671875
4,13,0.88671875
4,14,0.8671875
4,15,0.87109375
4,16,0.9140625
4,17,0.91015625
4,18,0.89453125
4,19,0.87109375
4,20,0.859375
4,21,0.8515625
4,22,0.8515625
4,23,0.8515625
4,24,0.85546875
5,1,0.8515625
5,2,0.8515625
5,3,0.84765625
5,4,0.79296875
5,5,0.80078125
5,6,0.8203125
5,7,0.83984375
5,8,0.86328125
5,9,0.88671875
5,10,0.8984375
5,11,0.92578125
5,12,0.9609375
5,13,0.81640625
5,14,0.74609375
5,15,0.73828125
5,16,0.73828125
5,17,0.7734375
5,18,0.79296875
5,19,0.78515625
5,20,0.7578125
5,21,0.78125
5,22,0.79296875
5,23,0.796875
5,24,0.80859375
6,1,0.8125
6,2,0.81640625
6,3,0.8125
6,4,0.80078125
6,5,0.796875
6,6,0.796875
6,7,0.8203125
6,8,0.84375
6,9,0.90234375
6,10,0.92578125
6,11,0.91015625
6,12,0.94140625
6,13,0.9765625
6,14,0.9453125
6,15,0.9765625
6,16,0.9375
6,17,0.89453125
6,18,0.86328125
6,19,0.8359375
6,20,0.83203125
6,21,0.82421875
6,22,0.83203125
6,23,0.8203125
6,24,0.8125
7,1,0.80859375
7,2,0.81640625
7,3,0.796875
7,4,0.79296875
7,5,0.79296875
7,6,0.77734375
7,7,0.796875
7,8,0.828125
7,9,0.90625
7,10,0.93359375
7,11,0.95703125
7,12,0.94140625
7,13,0.91015625
7,14,0.9296875
7,15,0.84375
7,16,0.81640625
7,17,0.86328125
7,18,0.8359375
7,19,0.80859375
7,20,0.79296875
7,21,0.78515625
7,22,0.78515625
7,23,0.78515625
7,24,0.78515625
8,1,0.78515625
8,2,0.78515625
8,3,0.7890625
8,4,0.78125
8,5,0.796875
8,6,0.79296875
8,7,0.78515625
8,8,0.74609375
8,9,0.78125
8,10,0.78125
8,11,0.81640625
8,12,0.7890625
8,13,0.84375
8,14,0.796875
8,15,0.8203125
8,16,0.8359375
8,17,0.85546875
8,18,0.84765625
8,19,0.80859375
8,20,0.7890625
8,21,0.76953125
8,22,0.76953125
8,23,0.765625
8,24,0.7578125
9,1,0.75390625
9,2,0.75390625
9,3,0.7578125
9,4,0.75390625
9,5,0.75390625
9,6,0.75
9,7,0.77734375
9,8,0.83203125
9,9,0.9296875
9,10,0.890625
9,11,0.8984375
9,12,0.8203125
9,13,0.890625
9,14,0.8984375
9,15,0.89453125
9,16,0.91796875
9,17,0.88671875
9,18,0.87109375
9,19,0.83984375
9,20,0.8203125
9,21,0.81640625
9,22,0.80859375
9,23,0.81640625
9,24,0.8203125
10,1,0.8125
10,2,0.8046875
10,3,0.8046875
10,4,0.76953125
10,5,0.77734375
10,6,0.76953125
10,7,0.78515625
10,8,0.80859375
10,9,0.81640625
10,10,0.83984375
10,11,0.72265625
10,12,0.75
10,13,0.77734375
10,14,0.81640625
10,15,0.83203125
10,16,0.8671875
10,17,0.84375
10,18,0.80859375
10,19,0.765625
10,20,0.7578125
10,21,0.76171875
10,22,0.75390625
10,23,0.7578125
10,24,0.71875
11,1,0.7265625
11,2,0.71875
11,3,0.70703125
11,4,0.7109375
11,5,0.71484375
11,6,0.72265625
11,7,0.73046875
11,8,0.796875
11,9,0.74609375
11,10,0.81640625
11,11,0.83984375
11,12,0.78515625
11,13,0.890625
11,14,0.90234375
11,15,0.81640625
11,16,0.78515625
11,17,0.75
11,18,0.75
11,19,0.7578125
11,20,0.76171875
11,21,0.765625
11,22,0.765625
11,23,0.7265625
11,24,0.71875
12,1,0.73828125
12,2,0.73828125
12,3,0.703125
12,4,0.7265625
12,5,0.73046875
12,6,0.73046875
12,7,0.75390625
12,8,0.796875
12,9,0.87890625
12,10,0.73046875
12,11,0.76953125
12,12,0.8125
12,13,0.8046875
12,14,0.77734375
12,15,0.76171875
12,16,0.7734375
12,17,0.78515625
12,18,0.76953125
12,19,0.75390625
12,20,0.75
12,21,0.75390625
12,22,0.75
12,23,0.76171875
12,24,0.75390625
13,1,0.75390625
13,2,0.75
13,3,0.74609375
13,4,0.7421875
13,5,0.73828125
13,6,0.73828125
13,7,0.76953125
13,8,0.85546875
13,9,0.90234375
13,10,0.9453125
13,11,0.89453125
13,12,0.91015625
13,13,0.87109375
13,14,0.89453125
13,15,0.90625
13,16,0.91796875
13,17,0.90234375
13,18,0.875
13,19,0.83984375
13,20,0.828125
13,21,0.828125
13,22,0.83203125
13,23,0.8203125
13,24,0.8046875
14,1,0.80859375
14,2,0.79296875
14,3,0.80078125
14,4,0.77734375
14,5,0.796875
14,6,0.79296875
14,7,0.828125
14,8,0.8515625
14,9,0.8984375
14,10,0.93359375
14,11,0.94921875
14,12,0.96875
14,13,0.97265625
14,14,0.9765625
14,15,0.95703125
14,16,0.90625
14,17,0.85546875
14,18,0.8671875
14,19,0.84375
14,20,0.83984375
14,21,0.8359375
14,22,0.82421875
14,23,0.8046875
14,24,0.80859375
15,1,0.75
15,2,0.78125
15,3,0.77734375
15,4,0.7109375
15,5,0.74609375
15,6,0.75390625
15,7,0.7421875
15,8,0.71875
15,9,0.73828125
15,10,0.72265625
15,11,0.71484375
15,12,0.78125
15,13,0.765625
15,14,0.76953125
15,15,0.77734375
15,16,0.76171875
15,17,0.76953125
15,18,0.74609375
15,19,0.75390625
15,20,0.70703125
15,21,0.73046875
15,22,0.70703125
15,23,0.73046875
15,24,0.72265625
16,1,0.7578125
16,2,0.73828125
16,3,0.765625
16,4,0.7265625
16,5,0.74609375
16,6,0.7421875
16,7,0.734375
16,8,0.73046875
16,9,0.76171875
16,10,0.79296875
16,11,0.8046875
