Day,Hour,Dir,Spd
0,1,170,0.073825503
0,2,170,0.100671141
0,3,230,0.040268456
0,4,280,0.040268456
0,5,290,0.026845638
0,6,290,0
0,7,270,0
0,8,290,0.046979866
0,9,290,0.040268456
0,10,270,0.127516779
0,11,270,0.154362416
0,12,,
0,13,270,0.22147651
0,14,270,0.187919463
0,15,270,0.208053691
0,16,280,0.187919463
0,17,280,0.134228188
0,18,220,0.100671141
0,19,180,0.067114094
0,20,200,0.11409396
0,21,230,0.053691275
0,22,200,0.033557047
0,23,220,0.093959732
0,24,220,0.046979866
1,1,270,0.013422819
1,2,290,0.053691275
1,3,270,0.040268456
1,4,280,0.033557047
1,5,290,0.053691275
1,6,290,0.040268456
1,7,270,0
1,8,280,0.040268456
1,9,290,0.10738255
1,10,280,0.120805369
1,11,270,0.167785235
1,12,270,0.208053691
1,13,270,0.214765101
1,14,270,0.22147651
1,15,270,0.22147651
1,16,270,0.140939597
1,17,270,0.161073826
1,18,230,0.10738255
1,19,230,0.087248322
1,20,,
1,21,260,0.046979866
1,22,270,0.080536913
1,23,230,0.053691275
1,24,270,0.067114094
2,1,270,0.060402685
2,2,270,0.080536913
2,3,270,0.073825503
2,4,270,0.067114094
2,5,280,0.026845638
2,6,270,0.026845638
2,7,290,0.006711409
2,8,280,0.040268456
2,9,270,0.080536913
2,10,300,0.181208054
2,11,,
2,12,270,0.154362416
2,13,270,0.201342282
2,14,270,0.187919463
2,15,260,0.194630872
2,16,210,0.167785235
2,17,240,0.161073826
2,18,270,0.147651007
2,19,260,0.127516779
2,20,270,0.10738255
2,21,290,0.087248322
2,22,280,0.087248322
2,23,280,0.060402685
2,24,290,0.067114094
3,1,290,0.053691275
3,2,270,0.080536913
3,3,290,0.040268456
3,4,270,0.073825503
3,5,280,0.060402685
3,6,130,0.100671141
3,7,180,0.046979866
3,8,290,0.060402685
3,9,290,0.073825503
3,10,290,0.100671141
3,11,210,0.154362416
3,12,280,0.154362416
3,13,290,0.100671141
3,14,290,0.134228188
3,15,250,0.127516779
3,16,270,0.127516779
3,17,260,0.140939597
3,18,270,0.100671141
3,19,270,0.100671141
3,20,280,0.067114094
3,21,300,0.013422819
3,22,300,0.013422819
3,23,290,0
3,24,290,0
4,1,280,0.006711409
4,2,290,0
4,3,270,0.053691275
4,4,290,0.040268456
4,5,290,0.033557047
4,6,290,0.046979866
4,7,270,0.006711409
4,8,280,0.046979866
4,9,270,0.093959732
4,10,290,0.134228188
4,11,280,0.087248322
4,12,270,0.10738255
4,13,270,0.100671141
4,14,270,0.100671141
4,15,280,0.127516779
4,16,290,0
4,17,260,0
4,18,290,0
4,19,290,0
4,20,290,0.033557047
4,21,290,0.067114094
4,22,290,0.020134228
4,23,290,0.026845638
4,24,280,0.006711409
5,1,290,0
5,2,290,0
5,3,270,0.006711409
5,4,330,0.080536913
5,5,350,0
5,6,290,0
5,7,290,0
5,8,280,0.020134228
5,9,280,0.10738255
5,10,,
5,11,270,0.100671141
5,12,270,0.147651007
5,13,270,0.181208054
5,14,300,0.134228188
5,15,270,0.013422819
5,16,130,0.033557047
5,17,110,0.067114094
5,18,110,0
5,19,290,0
5,20,290,0.073825503
5,21,320,0
5,22,120,0
5,23,120,0
5,24,250,0
6,1,280,0
6,2,290,0
6,3,340,0
6,4,120,0.006711409
6,5,270,0.013422819
6,6,280,0
6,7,290,0.006711409
6,8,290,0.020134228
6,9,290,0.053691275
6,10,290,0.087248322
6,11,290,0.134228188
6,12,,
6,13,,
6,14,130,0.100671141
6,15,130,0.120805369
6,16,120,0.174496644
6,17,120,0.201342282
6,18,120,0.161073826
6,19,130,0.147651007
6,20,120,0.181208054
6,21,120,0.167785235
6,22,120,0.11409396
6,23,120,0.174496644
6,24,120,0.10738255
7,1,120,0.11409396
7,2,120,0.100671141
7,3,130,0.087248322
7,4,130,0.046979866
7,5,120,0.073825503
7,6,120,0.087248322
7,7,110,0.013422819
7,8,130,0.053691275
7,9,120,0.11409396
7,10,130,0.181208054
7,11,120,0.208053691
7,12,120,0.228187919
7,13,130,0.214765101
